essay_id,essay_set,essay,score,p4_mbart50_m2m
8863,4,The author concludes the story with this because gardens cannot grow with snow on the ground. So she she figurers when all the snow is melted she”ll try to grow another one. I feel as if she wasn’t  happy enough to grow another garden I think she should be more interested in growin it then disappointed.    ,0.0,यस कथाको अन्त्यमा लेखकले यसो भन्नुहुन्छ किनभने बगैंचा जमीनमा हिऊँले उम्रन सक्तैन। यसकारण उनी सोच्दछिन् जब सबै हिऊँ झर्छिन् उनले अर्को एउटा उमार्ने प्रयास गर्नेछन्। म सोच्दछु उनी अर्को बगैंचाको विकास गर्न पर्याप्त खुशी भएनन् भन्ने जस्तो लाग्छ। मलाई लाग्छ उनी त्यस बगैंचाको विकासमा बढी चासो राख्नु पर्छ र त्यसपछि निराश हुनु पर्छ।    
8864,4,The narrater has that in with Paragraph becuse it all makes sence and it go'ss along together. The narrater says that when the guiss come out and the hibicus is budding is becuse it is ones more agian spring   ,0.0,वर्णकले यो दृष्टान्तसँग समाविष्ट गर्दछ यसले सबै सेन्स बनाउँदछ र यसले एकसाथ अगाडि जान्छ । कथाकारले भन्नुहुन्छ कि जब गुइस बाहिर आउँछ र हिपिकस बुडिरहेको छ भने यो अझ विशाल चम्किलो चम्किलो चम्किलो चम्किलो चम्किलो चम्किलो हुन्छ।   
8865,4,"The author concludes the story with that passage to show the importance of the inspiration Saeng gets from the hibiscus plant. Saeng, throughout the story was comforted by the hibiscus plant because it reminded her of home. The plant during the winter metaphorically explains: @CAPS1 attitude towards her new country and her driving test; the hibiscus plant in the winter is not as beautiful in the bitter cold, but it adapts and survives, and returns to its beautiful state in the spring. Saeng is bitter about her new country and driving test, but is adapting, and will be inspired by the beautiful state of the hibiscus in the spring to try her test again. In conclusion, the author ended the story in that way to stress importance in the relationship between Saeng and the hibiscus plant.",3.0,"लेखकले हाइबिस्कस वनस्पतिबाट साङ्गले प्राप्त गरेको प्रेरणाको महत्त्व देखाउन यस खण्डले कथा समाप्त गर्दछ। साइङ्गले कथाभरि हिबिस्कस वनस्पतिलाई सान्तवना दिए किनभने यसले तिनलाई घरको सम्झना गरायो। हिउँदमा हिबिस्कस वनस्पति आफ्नो नयाँ देश र ड्राइभ परीक्षण प्रतिको @CAPS1 दृष्टिकोण दृष्टान्त रूपले व्याख्या गर्दछ; हिउँदमा हिबिस्कस वनस्पति तितो शीतमा त्यति सुन्दर हुँदैन, तर यसले अनुकूलन गर्छ र जीवित रहन्छ, र 봄मा यसको सुन्दर स्थितिमा फर्कन्छ । साङ आफ्नो नयाँ देश र ड्राइभिङ परीक्षणको बारेमा कटु छ, तर अनुकूलन गरिरहनुभएको छ, र हिबिस्कसको सुन्दर अवस्थाले उनको परीक्षण फेरि प्रयास गर्न springमा प्रेरणा दिनेछ। अन्त्यमा, लेखकले साङ्ग र हिबिस्कस वनस्पतिको बीचको सम्बन्धमा महत्त्वलाई जोड्न यस तरिकाले कथा समाप्त गर्नुभयो।"
8866,4,The author ended the story with this paragraph because it shows change. The snow is melting represents change from cold to warm. The geese returning represents a new life as in coming back to something semi–new. Just like the author is going back to drivers ed. The hibiscus is budding represents growth. The author will be older and more knolageble and more skilled than before.,2.0,लेखकले यस अनुच्छेदले कथा समाप्त गरे किनभने यसले परिवर्तन देखाउँछ। हिऊँ हिड्दै गरेकोले शीतबाट गरममा परिवर्तनको प्रतिनिधित्व गर्दछ । फर्केर आउने geese ले अर्द्ध-नयाँ वस्तुमा फर्केर आउने नयाँ जीवनको प्रतिनिधित्व गर्दछ । just like the author is going back to drivers ed. हिबिस्कस बढिरहेकोले वृद्धिको प्रतिनिधित्व गर्दछ । लेखक पहिलेको भन्दा वृद्ध र धेरै कुशल हुनेछन्।
8867,4,"The author concludes the story with this paragraph of, “Winter Hibiscus”, because it takes us back to things that happened in the story. Saeng failed the test before. In the spring the hibiscus will be budding again. Saeng realized that many of the things she thought were strange, were almost familiar to her now. The calls of the snow geese were almost familiar to her. The snow melting will tell her that it is now spring. Some of the things that might happen as a result of spring coming might be that @PERSON1 will past the test. Her mother will be proud of her. Also, Saeng will start to become a customed to her new country and her new surrounding and stopremenising about her life back in Vietnam.",2.0,"लेखकले यस कथालाई ""वास्ता हिबिस्कस""को यो अनुच्छेदसँग समाप्त गर्दछ किनभने यसले हामीलाई कथामा घटेका घटनाहरूतर्फ फर्काउँछ। साइङ्गले पहिलेको परीक्षामा असफल भयो । बसन्तमा हिबिस्कस फेरि फुल्नेछ। साङले बुझिन् कि तिनले सोचेका धेरै कुराहरू अद्भूत छन् र तिनलाई अहिले एकदमै परिचित छन्। शीत geeseको आवाज तिनलाई प्रायः परिचित थियो। हिऊँ झर्नेले उसलाई बताउँदछ कि अब बसन्त आइसकेको छ। अप्रत्याशित बसन्तको परिणामको रूपमा केही कुराहरू हुन सक्दछन् @PERSON1ले परीक्षण पार्ने हुन सक्दछ । उहाँकी आमाले उहाँको गर्व गर्नेछन् । साङ्गले आफ्नो नयाँ देशमा र आफ्नो नयाँ परिवेशमा परम्परागत हुन थाल्नेछन् र उनको वियतनाममा फर्केर आउने जीवनबारे स्मरण गर्न थाल्नेछन्।"
8868,4,The reason the author concludes the story with this paragraph is because the author wanted to tell about about when saeng will take the test again. The author told the time with the season of the spring. In spring all the snows were melted and the geese and hibiscus has budding. And this paragraped make the reader to understand easyer. This is why the author include this paragraph in the story. ,1.0,यस अनुच्छेदसँग लेखकले कथा समाप्त गर्ने कारण लेखकले कहिले सेङ्गले फेरि परीक्षा लिने बारेमा बताउन चाहेको हो । लेखकले बसन्त ऋतुसँग समय बताए। ग्रीष्म ऋतुमा सबै हिऊँ सुकेको थियो र geese र hibiscus बुडिरहेको छ। र यो पद वर्णनले पाठकलाई बुझ्न सजिलो बनाउँदछ । यसकारण लेखकले यस अनुच्छेदलाई कथामा समावेश गर्दछ। 
8869,4,"The story ended with the author saying, ""when they come back, saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again."" The author concludes the story with this paragraph because Saeng is upset about spending @NUM1 on a plant that she had felt was different than the plant at home. She is stating that she is not going to take the test of buying one again until the geese return and the Hibiscus budds.",0.0,"यस कथाको अन्त्यमा लेखकले भन्नुहुन्छ,""जब तिनीहरू फर्केर आउँछन्, सङले आफ्नो लागि चुपचाप प्रतिज्ञा गरे, वसन्त ऋतुमा, जब बरफ झर्छ र geese फर्केर आउँदछन् र यो hibiscus बढिरहेको छ, तब म त्यो परीक्षण फेरि गर्नेछु।"" लेखकले यस अनुच्छेदसँग कथा समाप्त गर्दछ किनभने साङ्ग घरको थोकभन्दा भिन्न भएको उनले सोचेको थोकमा @NUM1 खर्च गर्न रिसाएको छ । उनी भन्छिन् गेसहरू र हिबिस्कस बुडहरू फर्केर नआएसम्म फेरि एउटा किन्ने परीक्षा लिने छैनन्।"
8870,4,I believe that the author concludes the story with this paragraph because the paragraph helps bring to story to a closing. In the paragraph she is basically saying when the geese return and my flower is budding I'll be prepared enough to take the test. She'll be prepared because she'll be adapted enough and she'll have experienced enough just like the plant and the geese. She Is comparing her life to the lives of the geese and the life of her flower.,2.0,मलाई लाग्छ लेखकले यो अनुच्छेदसँग कथा समाप्त गर्दछ किनभने यो अनुच्छेदले कथालाई समाप्त गर्न मद्दत गर्दछ। यो अनुच्छेदमा उहाँले मूलतः भन्नुभयो कि जब गहुँहरू फर्केर आउँदछन् र मेरा फूल फुल्नेछन् म परीक्षा लिन पर्याप्त तयार हुनेछु। तिनी तयार हुनेछन् किनभने तिनी पर्याप्त रूपले अनुकूल हुनेछन् र तिनीहरुले पौध र geese जस्तै पर्याप्त अनुभव गरेका हुनेछन् । उसले आफ्नो जीवन गेउज र फूलको जीवनसँग तुलना गरिरहेकी छ।
8871,4,The author would conclude the story with that paragraph because she failed the test before and she wants to pass it. It makes you wonder if she will pass it or not.,1.0,लेखकले त्यो अनुच्छेदसँग कथा समाप्त गर्नुहुन्छ किनभने उनी पहिलेको परीक्षामा असफल भएकी थिइन् र उनी यसलाई पास गर्न चाहन्छिन् । यसले तपाईँलाई आश्चर्यचकित बनाउँदछ कि उनी यसलाई पास गर्नेछन् वा छैनन् ।
8872,4,"In the story, ""Winter Hibiscus,"" by Minfong Ho, it concludes the story with a good ending. In the story the girl buys a Hibiscus that remainds her of home. She goes home & tells her mother she failed her test but bought the plant. While she was planting it she seen geese and she was reminded of home. America was like home and she was happier. In the text she says, ""many of the things that she had thought of as strange before had become, almost familiar to her now."" She is willing to give the test another try and is sure to pass it. America is now starting to feel a little more like home. ",2.0,"म्यानफोङ होद्वारा लिखित ""Winter Hibiscus"" कथाले कथालाई राम्रो अन्त्यसँग समाप्त गर्दछ। यस कथामा आइमाईले हिबिस्कस किन्न सक्छ जसले उसलाई घरबाट बचाउँछ। उनी घर फर्किन् र आफ्नो आमालाई भन्छिन् उनी आफ्नो परीक्षणमा असफल भएकी थिइन् तर उनले थोक किनिन् । जब तिनले त्यो रोपिरहेका थिए तिनले geese देखिन् र तिनलाई घरको सम्झना भयो। अमेरिका घर जस्तै थियो र उहाँ खुशी हुनुहुन्थ्यो । उहाँको लेखमा उहाँ भन्नुहुन्छ, ""उहाँले पहिले असामान्य सम्झनु भएको धेरै कुराहरू अहिले उहाँसँग प्रायः परिचित भएको थियो ।"" उनी परीक्षा अर्को प्रयास गर्न तयार छन् र यसलाई पास गर्ने निश्चित छन् । अमेरिका अहिले घर जस्तो केही बढी अनुभव गर्न सुरु भएको छ । "
