essay_id,essay_set,essay,score,p3_google_trans
5978,3,The features of the setting affect the cyclist in many ways. The features of the setting that affect the cyclist is the lact of information on were to go and the lack of water. This was a problem because he needed water for his trip and directions on were to go.  ,1,सेटिङका ​​विशेषताहरूले साइकल चालकलाई धेरै तरिकामा असर गर्छ। साइकल यात्रीलाई असर गर्ने सेटिङका ​​सुविधाहरूमा जाने जानकारी र पानीको अभाव हो। यो एक समस्या थियो किनभने उसलाई आफ्नो यात्राको लागि पानी चाहिन्छ र दिशाहरू जाने थियो।
5979,3,"The features of the setting affected the cyclist in a negative way. He was in the desert, which is dry and hot. “I was traveling through the high deserts of California in June.""(Kurmaskie @NUM1). Also, the  temperature was hot and made every thing around him hot, “brackish water faling somewhere in the neighborhood of two hundred degrees"" (Kurmaskie @NUM1). Since he was in the desert, there was no escape from the sun. The text  states, “The sun was beginning to beat down”(Kurmaskie @NUM3). The cyclist was all alone in the road with none around him either so into he passed out, no one could help him. “ and the growing realization that I could drop from heatstroke on a gorgous day in June”(Kurmaskie @NUM1). ""About forty miles into the pedal, I arrived at the first ‘town’ but on that morning it fit the traditional definition of a ghost town."" (Kurmaskie @NUM3). Thesettings that the cyclist was riding in wasn't good ones and so they negativly affected him; causing him to be dehydrated and tiredin the end.",2,"सेटिङको विशेषताहरूले साइकल चालकलाई नकारात्मक रूपमा असर गर्यो। उहाँ सुक्खा र तातो मरुभूमिमा हुनुहुन्थ्यो। ""म जूनमा क्यालिफोर्नियाको उच्च मरुभूमिमा यात्रा गरिरहेको थिएँ।"" (Kurmaskie @NUM1)। साथै, तापक्रम तातो थियो र उसको वरपरका सबै चीजहरू तातो बनाइदियो, ""दुई सय डिग्रीको छेउमा कतै खाला पानी खस्यो"" (Kurmaskie @ NUM1)। उहाँ मरुभूमिमा हुनुहुन्थ्यो, सूर्यबाट छुटकारा पाउन सकिएन। पाठले भन्छ, ""सूर्य अस्ताउन थालेको थियो"" (Kurmaskie @NUM3)। साइकल यात्री सडकमा एक्लै थिए र उनको वरिपरि कोही थिएन त्यसैले ऊ बाहिर निस्क्यो, कसैले उसलाई मद्दत गर्न सकेन। ""र बढ्दो अनुभूति कि म जुनमा एक भव्य दिनमा गर्मी स्ट्रोकबाट खस्न सक्छु"" (Kurmaskie @NUM1)। ""प्याडलमा लगभग चालीस माइल, म पहिलो 'टाउन' मा आइपुगेँ तर त्यो बिहान यो भूत शहरको परम्परागत परिभाषामा फिट हुन्छ।"" (Kurmaskie @NUM3)। साइकल चालकले सवार गरेको यी सेटिङहरू राम्रो थिएनन् र त्यसैले तिनीहरूले उसलाई नकारात्मक असर पारे। जसले गर्दा उसलाई डिहाइड्रेसन हुन्छ रअन्तमा थकित।"
5980,3,"Everyone travels to unfamiliar places. Sometimes we get lost and ask locals for directions which @MONTH1 not be a good idea. The setting affected the cyclist. He had a perfectly good map but asked older men who look like they haven’t been out in ages. The old men apparently haven’t been out because they gave the cyclist the wrong directions.  My advice would be to not listen to anyone no matter their age if you have a perfectly good map with you. Also try to know where you are going at all times. “Yes, sir!",1,"सबैले अपरिचित ठाउँहरूमा यात्रा गर्छन्। कहिलेकाहीँ हामी हराउँछौं र स्थानीयहरूलाई निर्देशनहरू सोध्छौं जुन @MONTH1 राम्रो विचार होइन। सेटिंगले साइकल चालकलाई असर गर्यो। उहाँसँग एकदम राम्रो नक्सा थियो तर उमेरमा बाहिर नआएको जस्तो देखिने वृद्ध मानिसहरूलाई सोधे। बूढाहरू स्पष्ट रूपमा बाहिर गएका छैनन् किनभने तिनीहरूले साइकल चालकलाई गलत निर्देशन दिए। मेरो सल्लाह यो हो कि यदि तपाईंसँग राम्रो नक्सा छ भने कसैको उमेरलाई फरक पार्दैन। तपाईं सधैं कहाँ जाँदै हुनुहुन्छ जान्न प्रयास गर्नुहोस्। ""हजुर सर!"
5981,3,"I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn’t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  ",1,"मलाई विश्वास छ कि साइकल चालकको विशेषताहरूले उसलाई असर गर्यो किनभने ऊ अधीर र भरोसेमंद थियो उसले आफ्नो समयको एक घण्टा एक छोटो बिरालो लिने पुराना मानिसहरूलाई सल्लाह दिन्छ, यदि ऊ एमईपीमा सत्य रहन्छ भने ऊ लगभग दुख्ने थिएन। गर्मीको तर उसको अधीरताले उसलाई राम्रो लाग्यो त्यसैले उसले सर्टकट लियो। उसको अनुभव पछि नयाँ तथ्याङ्क छ ?? एमईपीमा र विगत केही वर्षहरूमा परिवर्तनहरू नदेखेका मानिसहरूलाई विश्वास नगर्नुहोस्।"
5982,3,"The setting effects the cyclist because of the setting were diffrent the story would not of made sense. The setting of the story is not and dry with scaterd ghost towns. When he reaches the first “town” he sees “One ramshackle sheds several rusty pumps and a coral that couldnt hold the lamesh mule.” If the setting had the problem of no water so there would be no conflict in the story, “In the story the speeker says “I was travling through the high deserts of California” that are very hot and dry, and he says “This causes the problem of it being hot and dry if the seting was a forest in @DATE1 he wouldn’t have as much of a problem needing water which would of made the story much less exciting.",2,"सेटिङको कारणले साइकल चालकलाई प्रभाव पार्छ कथा फरक थियो। कथाको सेटिंग छरिएका भूत शहरहरूसँग सुक्खा छैन। जब ऊ पहिलो ""शहर"" मा पुग्छ उसले देख्छ ""एउटा ढिस्कोले धेरै खिया लागेका पम्पहरू र लमेस खच्चरलाई समात्न नसक्ने कोरल बगाएको छ।"" यदि सेटिङमा पानी नहुँदा समस्या भएको भए कथामा द्वन्द्व हुने थिएन, ""कथामा वक्ता भन्छन् ""म क्यालिफोर्नियाको उच्च मरुभूमिमा यात्रा गरिरहेको थिएँ"" जुन धेरै तातो र सुख्खा छ, र उनी भन्छन् ""यसको कारण। यो तातो र सुख्खा हुनुको समस्या @DATE1 मा सेटिङ जङ्गल भएको भए उसलाई पानी चाहिने समस्या हुने थिएन जसले कथालाई कम रोमाञ्चक बनाउँथ्यो।"
5983,3,"There were many features of the setting that affected the cyclist. For instance, it was extremely hot and dry. Also it  was nearly deserted, almost all of the places he crossed were deserted .A  lost her features of the setting were a ram shackle shed, several rusty pumps, and a corral that caldnt hald in the lamest move.an is the feature give you an idea if haw the cyclist feels.  ",1,"त्यहाँ सेटिङका ​​धेरै सुविधाहरू थिए जसले साइकल चालकलाई असर गर्यो। उदाहरणका लागि, यो धेरै तातो र सुख्खा थियो। साथै यो लगभग सुनसान थियो, उसले पार गरेको लगभग सबै ठाउँहरू सुनसान थिए। एक हराएको उनको सेटिङको विशेषताहरू एक र्याम शेकल शेड, धेरै खिया पम्पहरू, र एक कोरल जुन सबैभन्दा लामो चालमा रोकिएको थिएन। एक विचार यदि साइकल चालकलाई कस्तो लाग्छ।"
5984,3,The cyclist was riding through a tower when he stopped for directions. These old men told him to take a short cut and he did and got lost. He was in a ghost town in the desert. In conclusion the desert is hot.,1,साइकल चालक टावरबाट गुडिरहेको थियो जब उसले दिशा निर्देशनको लागि रोक्यो। यी बुढाहरूले उनलाई छोटो बाटो लिन भने र उनले गरे र हराए। उहाँ मरुभूमिको भूत शहरमा हुनुहुन्थ्यो। निष्कर्षमा मरुभूमि तातो छ।
5985,3,"The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don’t care about the cyclist. I’m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don’t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don’t care about the affects of the cyclist.",0,"परिवर्तन भएन भने साइकल यात्रीको असर हुन्छ । यसले धेरै मानिसहरूलाई चोट पुर्यायो किनभने तिनीहरू @CAPS1 साइकल चालकको वास्ता गर्दैनन्। म तिनीहरू मध्ये एक हुँ जसले यसको वास्ता गर्दैन किनभने यसले मलाई वा मैले चिनेको कसैलाई असर गर्दैन। मानिसहरूलाई लेख्न यो ठूलो कुरा हो, तिनीहरूमध्ये केही @CAPS1 सामानहरू उडाउँछन्। तिनीहरू टिभिमा र रेडियोमा कुरा गर्छन् यी सबै चीजहरू तिनीहरूले बनेको हो भन्छन्। मैले देख्दा विश्वास लाग्दैन । त्यो @CAPS1 कालो मानिसहरूका लागि होइन किनभने यसले हामीलाई केही गरेको छैन। हामी साँच्चै साइकल चालकको प्रभावको बारेमा वास्ता गर्दैनौं।"
5986,3,"The essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit” describes a man’s bicycle ride through California. Now, California is very hot during the summer, which is when the cyclist is riding. This setting greatly affects the man’s journey. It made it very difficult for him to finish his ride. He drank most of his water in the beginning of his ride so he gets very dehydrated. The text states, “The water bottles contained only a few tantalizing sips.” As you can see the setting makes this man’s bikeride very hard.",2,"निबन्ध ""रफ रोड अहेड: पोस्ट गरिएको गति सीमा नाघ्नुहोस्"" ले क्यालिफोर्निया हुँदै मानिसको साइकल यात्राको वर्णन गर्दछ। अब, क्यालिफोर्निया गर्मीको समयमा धेरै तातो हुन्छ, जुन साइकल चालकले सवारी गरिरहेको बेला हो। यो सेटिङले मानिसको यात्रालाई धेरै असर गर्छ। यसले उनलाई आफ्नो सवारी समाप्त गर्न धेरै गाह्रो बनायो। उसले आफ्नो सवारीको सुरुमा आफ्नो धेरैजसो पानी पियो त्यसैले ऊ धेरै निर्जलित हुन्छ। पाठमा भनिएको छ, ""पानीका बोतलहरूमा केवल केही ट्यान्टलाइजिङ चुस्कीहरू थिए।"" तपाईले देख्न सक्नुहुने सेटिङले यस मानिसको बाइकराइडलाई धेरै गाह्रो बनाउँछ।"
5987,3,"In the story, “Rough Road Ahead: Do Not Exceed Posted Speed Limit” written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, “the sun was beginning to beat down.” @CAPS1 makes any task difficult because the sun drain’s a person’s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; “The water bottle contained only dehydration which can cause death. Joe Kurmaskie’s story, “Rough Road Ahead. Do Not Exceed Posted Speed Limit,” represents how certain conditions of an environment can affect a cyclist.  ",3,"जो कुर्मास्की द्वारा लिखित ""रफ रोड अहेड: पोष्ट गरिएको स्पीड लिमिट नाघ्नुहोस्"" कथामा, कतिपय अवस्थाहरूले साइकल यात्रीलाई कसरी असर गर्न सक्छ भनेर चित्रण गर्दछ। साइकल यात्री योसेमाइट राष्ट्रिय निकुञ्ज पुग्न मरुभूमि हुँदै साइकल चलाउँदै थिए, तर आफ्नो यात्रामा उनले त्यहाँ पुग्न गाह्रो बनाउन धेरै कठिन अवस्थाहरू भोगे। सबैभन्दा पहिले, मरुभूमि धेरै तातो थियो जसले यात्रा धेरै गाह्रो बनाउँछ। उदाहरणका लागि, ""सूर्य अस्ताउन थालेको थियो।"" @CAPS1 ले कुनै पनि कामलाई गाह्रो बनाउँछ किनभने सन ड्रेन एक व्यक्तिको ऊर्जा हो। दोस्रो, यात्रा धेरै लामो थियो त्यसैले साइकल चालकलाई पानी जोगाउन गाह्रो भयो। उदाहरणका लागि, मानिसले यति धेरै पानी पियो, ऊ लगभग दौडियो; “पानीको बोतलमा डिहाइड्रेसन मात्र हुन्छ जसले मृत्यु निम्त्याउन सक्छ। जो कुर्मास्कीको कथा, ""रफ रोड अहेड। पोष्ट गरिएको गति सीमा नाघ्नुहोस्,"" वातावरणको निश्चित परिस्थितिले साइकल चालकलाई कसरी असर गर्न सक्छ भनेर प्रतिनिधित्व गर्दछ।"
