essay_id,essay_set,essay,score,p5_google_trans
11827,5,"In this memoir of Narciso Rodriguez, @PERSON3's life, the mood containing it all, was greatful, and showed how his parents gave him love through his whole life. Both his parents were born and raised in Cuba, and in 1956, they both moved to the United States. Starting their lives over again, and taking any job they could find. Then in 1961, @PERSON2, @CAPS1. was born. Both Parents raised him with love, and care, and introducing his Cuban background into his life.        As @PERSON2, was telling his story, all readers could tell how greatful he was to have a family like he did. Also, as he shared his non-– blood related family, and the remembrence on how his parents' life changed by moving to @LOCATION2, he showed the respect he had towards them.",2,"Narciso Rodriguez को यस संस्मरणमा, @PERSON3 को जीवन, यो सबै समावेशको मूड, महान थियो, र कसरी उहाँका आमाबाबुले उहाँलाई आफ्नो सम्पूर्ण जीवनभर माया दिनुभयो भनेर देखाउनुभयो। उनका आमाबाबु दुवै क्युबामा जन्मेका र हुर्केका थिए, र 1956 मा, तिनीहरू दुवै संयुक्त राज्यमा सरे। आफ्नो जीवन पुन: सुरु गर्दै, र तिनीहरूले पाउन सक्ने कुनै पनि काम लिने। त्यसपछि 1961 मा, @PERSON2, @CAPS1। जन्मेको। दुबै आमाबाबुले उहाँलाई माया र हेरचाहले हुर्काउनुभयो, र आफ्नो जीवनमा क्युबाली पृष्ठभूमि परिचय दिनुभयो। जसरी @PERSON2, आफ्नो कथा सुनाउँदै थिए, सबै पाठकहरूले बताउन सक्थे कि उनी जस्तो परिवार पाएकोमा उनी कत्ति महान थिए। साथै, उहाँले आफ्नो गैर-रगत सम्बन्धित परिवार साझा गर्नुभयो, र @LOCATION2 मा गएर आफ्ना आमाबाबुको जीवन कसरी परिवर्तन भयो भन्ने सम्झनामा, उहाँले उनीहरूप्रति रहेको आदर देखाउनुभयो।"
11828,5,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",2,"होम द ब्लुप्रिन्ट्स अफ आवर लाईभ्सको अंश भरि, लेखक नार्सिसो रोड्रिग्ज, एकल समग्र मुड कायम राख्न प्रबन्ध गर्दछ। कथाको धेरै भागहरूमा उसले आफ्नो बाल्यकाललाई कत्तिको माया गर्यो भनेर बताउँछ त्यसैले यसले मलाई पुरानो सम्झना थियो, तर कतै पनि यसले जोड दिएको छैन कि ऊ विगतका समयहरूमा फर्कन चाहन्छ। उसले सधैं आफ्नो परिवार कति मायालु र निस्वार्थ थियो, कसरी अरूलाई सहयोग गर्यो, र कसरी उहाँ आफ्ना छिमेकीहरूसँग ""परिवार"" बन्नुभयो भनेर घोषणा गर्नुभयो। यस कारणले गर्दा मैले उहाँको आमाबाबुप्रति मायालु र प्रशंसा गर्ने स्वर पाएको छु। यो यस तथ्यको कारणले गर्दा हो कि उसले बताउँछ कि कसरी उनका आमाबाबुले क्युबामा आफ्नो जीवन छोडेर राम्रो जीवन पाउन सक्ने साहसी थिए। नार्सिसो रोड्रिग्वेजले आफ्ना आमाबाबुले कसरी धेरै खाँचोमा परेकाहरूलाई मद्दत गरे भनेर धेरै पटक टिप्पणी गर्दछ। यदि रोड्रिग्वेजको स्थितिमा म मेरो आमाबाबुलाई धेरै माया र प्रशंसा गर्छु, यदि होइन भने, उनीहरूको निस्वार्थ काम र छोराको पालनपोषणको लागि।"
11829,5,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to @LOCATION1 and ""turned this simple house into a @NUM4).",3,"संस्मरणमा लेखकले सिर्जना गरेको मूड प्रेम हो। लेखकले थाहा पाए कि परिवार रगतको सम्बन्ध हुनु पर्दैन। लेखकको छिमेकमा ""अन्य ठाउँमा चलनहरूको बावजुद, यी सबै संस्कृतिहरू एकता र मित्रतामा सँगै आए"" (@NUM1)। लेखकले आफ्ना आमाबाबुलाई माया गर्नुहुन्छ किनभने तिनीहरू ""आफ्ना बच्चाहरूलाई राम्रो जीवन दिनको लागि धेरै आप्रवासीहरूले गर्छन्"" (@NUM2)। लेखक धेरै कृतज्ञ छिन् कि उनका आमाबाबु ""आमा र बुबा यस्तो साहसका साथ यो देशमा आएका थिए, भाषा वा संस्कृतिको कुनै ज्ञान बिना"" (@NUM3)। लेखकका आमाबाबुले @LOCATION1 मा गएर उहाँलाई उत्कृष्ट जीवन दिनुभयो र ""यस साधारण घरलाई @NUM4 मा परिणत गर्नुभयो)।"
11830,5,The mood created by the author is showing how cuban's lived and about Their cultra and how they lived and some people from other cultra's could be diffrent and don't @CAPS1 cared about their cultra's and some people do care about their cultra like narciso parents. that is what the author is trying to say. and that some people should respect their cultra and not @CAPS2 To be a different cultra.,1,लेखकद्वारा सिर्जना गरिएको मूडले क्युबालीहरू कसरी बाँच्छन् र तिनीहरूको संस्कृतिको बारेमा र उनीहरू कसरी बाँचेका थिए र अन्य संस्कृतिका केही मानिसहरू फरक हुन सक्छन् र @CAPS1 ले उनीहरूको संस्कृतिको वास्ता गर्दैनन् र केही मानिसहरूले नार्सिसो अभिभावकहरू जस्तै उनीहरूको संस्कृतिको ख्याल राख्छन्। लेखकले भन्न खोजेको यही हो । र केहि व्यक्तिहरूले आफ्नो संस्कृतिलाई सम्मान गर्नुपर्छ र @CAPS2 फरक संस्कृति हुनको लागि होइन।
11831,5,"The mood created in the memoir is happiness and gratitude. Narciso is grateful of his parents for moving to @LOCATION1, and still give him warm happy feeling of a house in Cuba. His parents passed down their culture to him and he is happy that they did. Narciso is glad to have lived in the home that they did, and all the opertunities that he had as a child. He is grateful that his family always got together and had a feast with cuban music, activities, and food. His parents gave up their jobs and had to Start their lives over entirely. Narciso is also grateful that he learned the real definition of ""family"". He is also very grateful to his parents for their love and sacrifice.",3,"संस्मरणमा सिर्जना गरिएको मूड खुशी र कृतज्ञता हो। @LOCATION1 मा सरेकोमा नार्सिसो आफ्ना आमाबाबुप्रति कृतज्ञ छन्, र अझै पनि उनलाई क्युबामा एउटा घरको न्यानो खुशीको अनुभूति दिन्छन्। उहाँका आमाबाबुले आफ्नो संस्कृति उहाँलाई हस्तान्तरण गर्नुभयो र उहाँ खुसी हुनुहुन्छ। नार्सिसो उनीहरूले गरेको घरमा बस्न पाउँदा खुसी छिन्, र उनले बाल्यकालमा पाएका सबै अवसरहरू। उहाँ कृतज्ञ हुनुहुन्छ कि उहाँको परिवार सधैं सँगै हुन्छ र क्युबाली संगीत, गतिविधिहरू, र खानाको साथ भोज थियो। उनका आमाबाबुले आफ्नो जागिर त्यागे र पूर्ण रूपमा आफ्नो जीवन सुरु गर्नुपर्‍यो। नार्सिसो पनि कृतज्ञ छन् कि उनले ""परिवार"" को वास्तविक परिभाषा सिके। उहाँ आफ्ना आमाबाबुको माया र त्यागको लागि धेरै आभारी हुनुहुन्छ।"
11832,5,"The mood definitely helps you feel and comprehend the story better. The mood is a mixture of both happy and sad because of the way the author states his ideas. For example, the sentence ""I will never forget how my parents turned this simple house into a home"" makes me feel sad because he grew up and everything is just memories now but he keeps those happy memories. Most of other ideas like ""I will be grateful to my parents for their love and sacrifice"" also carry the same reasons for being happy or sad. However statements like ""My mother and father came to this country with such courage, without any knowledge of the language or the culture"" makes me feel happy that his parents were so determind. Overall the main idea is remembering the good and bad times of his life and the mood for this idea is happy/sad.",3,"मूडले निश्चित रूपमा तपाईंलाई कथा राम्रोसँग महसुस गर्न र बुझ्न मद्दत गर्दछ। लेखकले आफ्नो विचार व्यक्त गर्ने तरिकाले गर्दा मुड खुशी र दुखी दुवैको मिश्रण हो। उदाहरणका लागि, ""मेरो आमाबाबुले कसरी यो साधारण घरलाई घरमा परिणत गर्नुभयो भनेर म कहिल्यै बिर्सने छैन"" भन्ने वाक्यले मलाई दुःखी महसुस गराउँछ किनभने उहाँ हुर्कनुभयो र सबै कुरा अब सम्झना मात्र हो तर उसले ती खुशीका सम्झनाहरू राख्छ। धेरै जसो अन्य विचारहरू जस्तै ""म मेरो आमाबाबुको माया र बलिदानको लागि कृतज्ञ हुनेछु"" पनि खुसी वा दुखी हुनुको एउटै कारणहरू छन्। तर, ""मेरो आमा बुबा यति साहसका साथ यो देशमा आउनुभयो, भाषा वा संस्कृतिको ज्ञान नदिई आउनुभयो"" जस्ता भनाइले उहाँका आमाबुवाले यति दृढ संकल्प गर्नुभएकोमा मलाई खुशी लाग्छ। समग्रमा मुख्य विचार भनेको आफ्नो जीवनको राम्रो र नराम्रो समयलाई सम्झनु हो र यो विचारको मूड खुसी/दुखी छ।"
11833,5,"In Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"" he/she incorporated love and passion into the mood. You can tell this by how fondly and strongly Narciso talks about some things. ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm houses."" In this one sentence alone, you could feel Narciso's passion and love for this home of the their's. Narciso puts a great deal of love and thankfulness into paragraph @NUM1 and @NUM2 when talking about his/her parents. ""It was here where I learned the real definition of 'family'... I will never forget how my parents turned the simple house into a home."" These two sentences are most likely the strongest in Narciso's memoir, these two are also the ones filled with the most passion and meaning. As you can see, in Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"", the mood Narciso puts in it is love and passion. ",3,"""होम: द ब्लुप्रिन्ट्स अफ आवर लाइफ"" बाट नार्सिसो रोड्रिग्वेजको संस्मरणमा उसले प्रेम र जोशलाई मूडमा समावेश गर्यो। नार्सिसोले कतिपय कुराहरूको बारेमा कत्तिको माया र दृढताका साथ कुरा गर्छ भनेर तपाईंले यो बताउन सक्नुहुन्छ। ""यहाँ, बाल्यकालको निर्दोषता, परिवार र साथीहरूको मण्डली, र दुवैलाई समाहित गर्ने अनन्त उत्सवहरूले हाम्रो न्यानो घरहरूमा जीवनको पृष्ठभूमि बनायो।"" यो एउटै वाक्यमा, तपाईंले नार्सिसोको यो घरप्रतिको जोश र माया महसुस गर्न सक्नुहुन्छ। नार्सिसोले आफ्नो आमाबाबुको बारेमा कुरा गर्दा @NUM1 र @NUM2 अनुच्छेदमा धेरै माया र कृतज्ञता राख्छ। ""यहाँ मैले 'परिवार' को वास्तविक परिभाषा सिकेको थिएँ... मेरा आमाबाबुले कसरी साधारण घरलाई घरमा परिणत गर्नुभयो म कहिल्यै बिर्सने छैन।"" यी दुई वाक्यहरू सम्भवतः नार्सिसोको संस्मरणमा सबैभन्दा बलियो छन्, यी दुई पनि सबैभन्दा जोश र अर्थले भरिएका छन्। तपाईले देख्न सक्नुहुन्छ, ""होम: द ब्लुप्रिन्ट्स अफ आवर लाइफ"" बाट नार्सिसो रोड्रिग्वेजको संस्मरणमा, नार्सिसोले यसमा राखेको मूड प्रेम र पा।सत्र।"
11834,5,"In the excerpt the mood created by the author is love. Love for family and love for each other. The author talks about his parents in a loving and respectful way, ""I will never forget how my parents turned this simple house into a home."" The author discribes all his parents went through to make their own and his life better. In doing so they turned an apartment into a place of love and caring that he will never forget and more importantly passed this love onto him. The author also talks about his ""family"" and the love shared between them, ""My parents always kept their arms and their door open to the many people we considered family..."" The author's ""family"" wasn't completely blood related. Many people were friends but very close friends that hav become like family and were always welcomed. Finally, the author talks about his community, ""In our neighborhood, despite customs elsewhere, all these cultures came together in great solidarity and friendship."" No matter what nationality they were the comunity was very close together and understanding. It was these basic principles of friendship, trust, love, and caring that were passed onto the author of this excerpt by a varity of people and give the excerpt a mood of love.",4,"अंशमा लेखकले सिर्जना गरेको मूड प्रेम हो। परिवारको लागि माया र एकअर्काको लागि माया। लेखकले आफ्ना आमाबाबुको बारेमा मायालु र सम्मानजनक तरिकामा कुरा गर्छन्, ""मेरा आमाबाबुले कसरी यो साधारण घरलाई घरमा परिणत गर्नुभयो म कहिल्यै बिर्सने छैन।"" लेखकले आफ्ना सबै आमाबाबुले आफ्नो र आफ्नो जीवनलाई राम्रो बनाउनको लागि गएको वर्णन गर्दछ। यसो गर्दा तिनीहरूले एउटा अपार्टमेन्टलाई माया र हेरचाह गर्ने ठाउँमा परिणत गरे जुन उसले कहिल्यै बिर्सने छैन र अझ महत्त्वपूर्ण कुरा यो प्रेम उहाँमा हस्तान्तरण भयो। लेखकले आफ्नो ""परिवार"" र उनीहरूबीच बाँडफाँड गरेको मायाको बारेमा पनि कुरा गर्छन्, ""मेरा आमाबुवाले सधैं आफ्नो हात र ढोका खुला राख्नुभयो जसलाई हामीले परिवार ठान्थ्यौं ..."" लेखकको ""परिवार"" पूर्णतया रगतसँग सम्बन्धित थिएन। धेरै मानिसहरू साथी थिए तर धेरै नजिकका साथीहरू जुन परिवार जस्तै बनेका छन् र सधैं स्वागत गरिएको छ। अन्तमा, लेखक आफ्नो समुदायको बारेमा कुरा गर्छन्, ""हाम्रो छिमेकमा, अन्यत्रको चलनका बाबजुद, यी सबै संस्कृतिहरू ठूलो ऐक्यबद्धता र मित्रतामा भेला भए।"" चाहे जुनसुकै राष्ट्रियता होस्समुदाय धेरै नजिक र समझदार थियो। यो मित्रता, विश्वास, प्रेम, र हेरचाह को यी आधारभूत सिद्धान्तहरू थिए जुन यस अंशको लेखकमा विभिन्न व्यक्तिहरूद्वारा हस्तान्तरण गरिएको थियो र अंशलाई प्रेमको मूड दिन्छ।"
11835,5,"The mood created by the author in the memoir is grateful and fortunate. Narciso Rodriguez talks about being so fortunate to have his parents and his heritage of being Cuban. From paragraph @NUM1, ""I will always be grateful to my parents for their love and sacrifice."" @CAPS1 is saying that @CAPS1 was so happy and lucky to have his parents as parents which is the main mood of the memoir.Another mood created by Narciso Rodriguez in his memoir is happiness. @CAPS1 makes the story happy by saying how great it was to grow up with his family. @CAPS1 also says that his family was a lot of people in his neighborhood as well. @CAPS1 is happy to have a great family. From paragraph @NUM2, ""Here, the innocence of childhood, the congregation family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home.""@CAPS2 are two moods created by Rodriguez in his memoir.",3,"संस्मरणमा लेखकले सिर्जना गरेको मूड कृतज्ञ र भाग्यशाली छ। नार्सिसो रोड्रिग्वेज आफ्नो आमाबाबु र क्युवाली हुनुको विरासत पाएकोमा धेरै भाग्यशाली भएको कुरा गर्छन्। अनुच्छेद @NUM1 बाट, ""म सधैं मेरो आमाबाबुको माया र बलिदानको लागि आभारी हुनेछु।"" @CAPS1 भन्नु भएको छ कि @CAPS1 आफ्ना आमाबाबुलाई अभिभावकको रूपमा पाएकोमा धेरै खुसी र भाग्यशाली थिए जुन संस्मरणको मुख्य मूड हो। नार्सिसो रोड्रिग्वेजले आफ्नो संस्मरणमा सिर्जना गरेको अर्को मूड खुशी हो। @CAPS1 ले आफ्नो परिवारसँग हुर्कनु कत्ति राम्रो थियो भनी कथालाई खुसी बनाउँछ। @CAPS1 ले यो पनि बताउँछ कि उसको परिवार उसको छिमेकमा पनि धेरै मानिसहरू थिए। @CAPS1 राम्रो परिवार पाएकोमा खुसी छ। अनुच्छेद @NUM2 बाट, ""यहाँ, बाल्यकालको निर्दोषता, मण्डलीको परिवार र साथीहरू, र दुबैलाई समेट्ने अनन्त उत्सवहरूले हाम्रो न्यानो घरमा जीवनको पृष्ठभूमि बनाएको छ।"" @CAPS2 रोड्रिग्वेजले आफ्नो संस्मरणमा सिर्जना गरेका दुई मूडहरू हुन्।"
11836,5,"The author generally stayed in one mood. The mood portrayed in the story was family and friends are very important and they help what you will be in the future. This is why the author stressed how thankful he was that his family had come to @LOCATION1 to make him a better life and that his friends came over to share their culture. Also the author was saying that even in @LOCATION1 it was important to remember his cuban blood and culture. This is why he says ""...and a love of cooking that is still with me today (and for which I am eternally grateful). Passionate cuban music (which I adore to this day) filled the air, mixing with the aromas, of the kitchen."" Also the author say's that a home is where geat memeries are and were you grow up, you should never forget it.",3,"लेखक सामान्यतया एउटै मूडमा रह्यो। कथामा चित्रण गरिएको मूड परिवार र साथीहरू धेरै महत्त्वपूर्ण छन् र उनीहरूले भविष्यमा तपाई के हुनुहुनेछ भनेर मद्दत गर्दछ। यसैले लेखकले जोड दिए कि उहाँ कत्ति आभारी हुनुहुन्थ्यो कि उहाँको परिवार @LOCATION1 मा उहाँलाई राम्रो जीवन दिन आएको थियो र उहाँका साथीहरू आफ्नो संस्कृति साझा गर्न आएका थिए। साथै लेखकले @LOCATION1 मा पनि आफ्नो क्युबाली रगत र संस्कृति सम्झनु महत्त्वपूर्ण थियो भनी भन्दै थिए। यही कारणले उनी भन्छन् ""...र खाना पकाउने माया जुन आज पनि मसँग छ (र जसको लागि म सदा कृतज्ञ छु)। भावुक क्युबाली संगीत (जसलाई म आजसम्म मनपराउँछु) हावा भरियो, सुगन्ध संग मिसाएर, भान्साको ।"" साथै लेखकको भनाइ छ कि घर त्यो हो जहाँ गित सम्झनाहरू छन् र यदि तपाईं हुर्कनुभयो भने, तपाईंले यसलाई कहिल्यै बिर्सनु हुँदैन।"
