essay_id,essay_set,essay,score,p4_google_trans
8863,4,The author concludes the story with this because gardens cannot grow with snow on the ground. So she she figurers when all the snow is melted she”ll try to grow another one. I feel as if she wasn’t  happy enough to grow another garden I think she should be more interested in growin it then disappointed.    ,0.0,"जमिनमा हिउँ परेर बगैंचा बढ्न नसक्ने भएकाले लेखकले कथाको अन्त्य यसरी गर्छ। त्यसोभए उनी सबै हिउँ पग्लिएपछि उनी आंकडा गर्छिन् उनी ""अर्को बढ्ने प्रयास गर्नेछिन्। मलाई लाग्छ कि उनी अर्को बगैंचा उब्जाउन पर्याप्त खुसी भएकी छैनन् मलाई लाग्छ कि उनी यसलाई बढ्नमा बढी चासो राख्नुपर्छ र निराश भइन्।"
8864,4,The narrater has that in with Paragraph becuse it all makes sence and it go'ss along together. The narrater says that when the guiss come out and the hibicus is budding is becuse it is ones more agian spring   ,0.0,कथनकर्ताले अनुच्छेदको साथमा छ किनकि यसले सबैलाई अर्थ दिन्छ र यो सँगै जान्छ। कथनकर्ता भन्छन् कि जब गुस बाहिर आउँछ र हिबिकस उभरिरहेको छ किनभने यो धेरै अगियन वसन्त हो।
8865,4,"The author concludes the story with that passage to show the importance of the inspiration Saeng gets from the hibiscus plant. Saeng, throughout the story was comforted by the hibiscus plant because it reminded her of home. The plant during the winter metaphorically explains: @CAPS1 attitude towards her new country and her driving test; the hibiscus plant in the winter is not as beautiful in the bitter cold, but it adapts and survives, and returns to its beautiful state in the spring. Saeng is bitter about her new country and driving test, but is adapting, and will be inspired by the beautiful state of the hibiscus in the spring to try her test again. In conclusion, the author ended the story in that way to stress importance in the relationship between Saeng and the hibiscus plant.",3.0,"हिबिस्कस बिरुवाबाट सेङले पाएको प्रेरणाको महत्त्व देखाउन लेखकले त्यो खण्डको साथ कथाको अन्त्य गर्दछ। Saeng, कथा भर हिबिस्कस बिरुवा द्वारा सान्त्वना थियो किनभने यसले उनलाई घरको सम्झना दिलाउँछ। जाडोको समयमा बिरुवाले रूपक रूपमा व्याख्या गर्छ: @CAPS1 उनको नयाँ देश र उनको ड्राइभिङ परीक्षण प्रतिको दृष्टिकोण; जाडोमा हिबिस्कस बिरुवा कडा चिसोमा जति सुन्दर हुँदैन, तर यो अनुकूल हुन्छ र जीवित रहन्छ, र वसन्तमा आफ्नो सुन्दर अवस्थामा फर्कन्छ। Saeng आफ्नो नयाँ देश र ड्राइभिङ परीक्षण को बारे मा तीतो छ, तर अनुकूलन छ, र वसन्त मा हिबिस्कस को सुन्दर राज्य द्वारा उनको परीक्षण पुन: प्रयास गर्न प्रेरित हुनेछ। निष्कर्षमा, लेखकले सेङ र हिबिस्कस बिरुवाको बीचको सम्बन्धमा महत्वलाई जोड दिन यसरी कथा समाप्त गरे।"
8866,4,The author ended the story with this paragraph because it shows change. The snow is melting represents change from cold to warm. The geese returning represents a new life as in coming back to something semi–new. Just like the author is going back to drivers ed. The hibiscus is budding represents growth. The author will be older and more knolageble and more skilled than before.,2.0,लेखकले यो अनुच्छेदको साथ कथा समाप्त गरे किनभने यसले परिवर्तन देखाउँछ। हिउँ पग्लिँदै जाँदा चिसोबाट तातोमा परिवर्तन हुन्छ। गिज फिर्ता हुनुले नयाँ जीवनलाई प्रतिनिधित्व गर्दछ जुन अर्ध-नयाँ कुरामा फर्केर आउँदैछ। जसरी लेखक ड्राइभर एडमा फर्किँदैछ। हिबिस्कसले बृद्धिको प्रतिनिधित्व गर्दछ। लेखक पहिले भन्दा पुरानो र अधिक ज्ञानयोग्य र अधिक कुशल हुनेछ।
8867,4,"The author concludes the story with this paragraph of, “Winter Hibiscus”, because it takes us back to things that happened in the story. Saeng failed the test before. In the spring the hibiscus will be budding again. Saeng realized that many of the things she thought were strange, were almost familiar to her now. The calls of the snow geese were almost familiar to her. The snow melting will tell her that it is now spring. Some of the things that might happen as a result of spring coming might be that @PERSON1 will past the test. Her mother will be proud of her. Also, Saeng will start to become a customed to her new country and her new surrounding and stopremenising about her life back in Vietnam.",2.0,"लेखकले कथालाई ""विन्टर हिबिस्कस"" को यस अनुच्छेदको साथ समाप्त गर्दछ, किनभने यसले हामीलाई कथामा भएका चीजहरूमा फर्काउँछ। साङ यसअघि परीक्षामा फेल भएका थिए । वसन्तमा हिबिस्कस फेरि बढ्छ। सेङले महसुस गरे कि उनले सोचेका धेरै चीजहरू अनौठो थिए, अहिले उनलाई लगभग परिचित थिए। स्नो गिजका कलहरू उनलाई लगभग परिचित थिए। हिउँ पग्लनेले उनलाई बताउनेछ कि अब वसन्त छ। वसन्त आगमनको परिणामको रूपमा हुन सक्ने केहि चीजहरू हुन सक्छ कि @PERSON1 परिक्षण पास हुनेछ। उसको आमालाई गर्व हुनेछ। साथै, Saeng आफ्नो नयाँ देश र उसको नयाँ वरपरको लागि अनुकूल बन्न थाल्छ र भियतनाम मा आफ्नो जीवन को बारे मा remenising बन्द हुनेछ।"
8868,4,The reason the author concludes the story with this paragraph is because the author wanted to tell about about when saeng will take the test again. The author told the time with the season of the spring. In spring all the snows were melted and the geese and hibiscus has budding. And this paragraped make the reader to understand easyer. This is why the author include this paragraph in the story. ,1.0,लेखकले यस अनुच्छेदको साथ कथा समाप्त गर्नुको कारण यो हो कि लेखकले सेङले फेरि परीक्षा कहिले लिने बारे बताउन चाहन्थे। लेखकले वसन्त ऋतुको साथ समय बताए। वसन्तमा सबै हिउँ पग्लिएको थियो र गिज र हिबिस्कस उभरेको छ। र यो अनुच्छेदले पाठकलाई बुझ्न सजिलो बनाउँछ। त्यसैले लेखकले यो अनुच्छेदलाई कथामा समावेश गरेका छन्।
8869,4,"The story ended with the author saying, ""when they come back, saeng vowed silently to herself, in the spring, when the snows melt and the geese return and this hibiscus is budding, then I will take that test again."" The author concludes the story with this paragraph because Saeng is upset about spending @NUM1 on a plant that she had felt was different than the plant at home. She is stating that she is not going to take the test of buying one again until the geese return and the Hibiscus budds.",0.0,"लेखकले यसो भन्दै कथा समाप्त भयो, ""जब तिनीहरू फर्केर आउँछन्, साङले चुपचाप आफूसँग वाचा खाइन्, वसन्तमा, जब हिउँ पग्लन्छ र गिजहरू फर्किन्छन् र यो हिबिस्कस उम्रन्छ, तब म फेरि त्यो परीक्षा लिन्छु।"" लेखकले यस अनुच्छेदको साथ कथाको अन्त्य गर्छिन् किनभने सेङले @NUM1 बिरुवामा खर्च गरेकोमा निराश छिन् जुन उनले घरको बिरुवा भन्दा फरक महसुस गरेकी थिइन्। गिज नफर्केसम्म र हिबिस्कसका बडहरू नआएसम्म आफूले फेरि एउटा किन्ने परीक्षा नदिने उनको भनाइ छ।"
8870,4,I believe that the author concludes the story with this paragraph because the paragraph helps bring to story to a closing. In the paragraph she is basically saying when the geese return and my flower is budding I'll be prepared enough to take the test. She'll be prepared because she'll be adapted enough and she'll have experienced enough just like the plant and the geese. She Is comparing her life to the lives of the geese and the life of her flower.,2.0,मलाई विश्वास छ कि लेखकले यस अनुच्छेदको साथ कथा समाप्त गर्दछ किनभने अनुच्छेदले कथालाई समापनमा ल्याउन मद्दत गर्दछ। अनुच्छेदमा उनी मूलतया भनिरहेकी छिन् जब हंस फर्कन्छ र मेरो फूल फुल्दैछ म परीक्षा दिन पर्याप्त तयार हुनेछु। उनी तयार हुनेछिन् किनभने उनी पर्याप्त रूपमा अनुकूलित हुनेछिन् र उनले बोट र गिज जस्तै पर्याप्त अनुभव गर्नेछिन्। उनी आफ्नो जीवनलाई हंसको जीवन र उनको फूलको जीवनसँग तुलना गर्दैछिन्।
8871,4,The author would conclude the story with that paragraph because she failed the test before and she wants to pass it. It makes you wonder if she will pass it or not.,1.0,लेखकले त्यो अनुच्छेदको साथ कथाको अन्त्य गर्नेछ किनभने उनी पहिले परीक्षामा असफल भइन् र उनी यसलाई पास गर्न चाहन्छिन्। यसले तपाईंलाई अचम्ममा पार्छ कि उसले पास गर्छ कि गर्दैन।
8872,4,"In the story, ""Winter Hibiscus,"" by Minfong Ho, it concludes the story with a good ending. In the story the girl buys a Hibiscus that remainds her of home. She goes home & tells her mother she failed her test but bought the plant. While she was planting it she seen geese and she was reminded of home. America was like home and she was happier. In the text she says, ""many of the things that she had thought of as strange before had become, almost familiar to her now."" She is willing to give the test another try and is sure to pass it. America is now starting to feel a little more like home. ",2.0,"मिन्फोङ हो द्वारा ""विन्टर हिबिस्कस"" कथामा, यसले राम्रो अन्त्यको साथ कथाको अन्त्य गर्दछ। कथामा केटीले हिबिस्कस किन्छे जुन उनको घरमा रहन्छ। उनी घर गएर आफ्नी आमालाई भन्छिन् कि उनी आफ्नो परीक्षामा असफल भए तर बिरुवा किनिन्। रोप्दै गर्दा उसले हंस देख्यो र उसलाई घरको याद आयो। अमेरिका घर जस्तै थियो र उनी खुसी थिइन्। पाठमा उनी भन्छिन्, ""उनले पहिले अनौठो सोचेका धेरै चीजहरू अब उनलाई लगभग परिचित भइसकेका छन्।"" उनी फेरि परीक्षा दिन इच्छुक छिन् र यसलाई पास गर्ने पक्का छिन्। अमेरिका अब अलि बढी घर जस्तो महसुस गर्न थालेको छ।"
